,date,shop_id,item_id,item_price,item_cnt_day
2553791,01.04.2015,29,1469,1199.0,1.0
2553959,01.04.2015,28,21364,479.0,1.0
2553979,01.04.2015,28,21365,999.0,2.0
2554011,01.04.2015,28,22104,249.0,2.0
2554035,01.04.2015,28,22091,179.0,1.0
2554041,01.04.2015,28,21842,149.0,1.0
2554045,01.04.2015,28,21881,299.0,1.0
2554153,01.04.2015,29,6930,2199.0,1.0
2554205,01.04.2015,29,10515,169.0,1.0
2554229,01.04.2015,29,8624,149.0,1.0
2554302,01.04.2015,29,4178,1590.0,1.0
2554344,01.04.2015,29,5643,2990.0,1.0
2554354,01.04.2015,29,5823,2799.0,1.0
2554392,01.04.2015,29,5037,2599.0,1.0
2554393,01.04.2015,29,5013,698.0,1.0
2554411,01.04.2015,29,5822,1149.0,1.0
2554444,01.04.2015,28,16487,399.0,1.0
2554476,01.04.2015,28,16360,799.0,1.0
2554487,01.04.2015,28,15698,99.0,1.0
2554495,01.04.2015,28,15812,999.0,1.0
2554507,01.04.2015,28,15818,699.0,1.0
2554548,01.04.2015,28,17748,349.0,1.0
2554572,01.04.2015,28,16923,599.0,2.0
2554579,01.04.2015,28,16889,99.0,1.0
2554580,01.04.2015,28,16880,199.0,1.0
2554584,01.04.2015,28,17027,399.0,1.0
2554648,01.04.2015,28,15922,2149.0,1.0
2554721,01.04.2015,28,15645,399.0,1.0
2554793,01.04.2015,28,20225,479.0,2.0
2554804,01.04.2015,28,20434,1899.0,1.0
2554848,01.04.2015,28,20069,98.0,1.0
2554863,01.04.2015,28,19816,799.0,1.0
2554878,01.04.2015,28,20949,5.0,6.0
2554880,01.04.2015,28,20916,1719.0,1.0
2554981,01.04.2015,28,18407,199.0,1.0
2554995,01.04.2015,28,18148,449.0,1.0
2555027,01.04.2015,28,18048,299.0,1.0
2555044,01.04.2015,28,18439,199.0,1.0
2555066,01.04.2015,28,19116,399.0,1.0
2555103,01.04.2015,28,18477,249.0,1.0
2555136,01.04.2015,31,2868,999.0,1.0
