,id,item_id,item_earnings,total_items_sold,date
0,1,30,169.0,1.0,03/12/2019
1,2,31,363.0,1.0,03/12/2019
2,3,32,149.0,1.0,03/12/2019
3,4,42,299.0,1.0,03/12/2019
4,5,59,249.0,1.0,03/12/2019
5,6,74,499.0,1.0,03/12/2019
6,7,109,249.0,1.0,03/12/2019
7,8,259,249.0,1.0,03/12/2019
8,9,464,299.0,1.0,03/12/2019
9,10,482,6600.0,4.0,03/12/2019
10,11,486,1500.0,7.0,03/12/2019
11,12,492,600.0,1.0,03/12/2019
12,13,493,250.0,1.0,03/12/2019
13,14,494,380.0,1.0,03/12/2019
14,15,686,1500.0,1.0,03/12/2019
15,16,687,600.0,1.0,03/12/2019
16,17,787,420.0,1.0,03/12/2019
17,18,799,25.0,1.0,03/12/2019
18,19,803,100.0,1.0,03/12/2019
19,20,806,498.0,4.0,03/12/2019
20,21,837,4600.0,1.0,03/12/2019
21,22,839,6600.0,2.0,03/12/2019
22,23,970,698.0,2.0,03/12/2019
23,24,971,349.0,1.0,03/12/2019
24,25,1007,1199.0,1.0,03/12/2019
25,26,1010,499.0,1.0,03/12/2019
26,27,1045,199.0,1.0,03/12/2019
27,28,1114,516.5,0.0,03/12/2019
28,29,1143,399.0,1.0,03/12/2019
29,30,1201,299.0,1.0,03/12/2019
30,31,1204,299.0,1.0,03/12/2019
31,32,1256,149.0,1.0,03/12/2019
32,33,1260,1248.0,1.0,03/12/2019
33,34,1310,249.0,1.0,03/12/2019
34,35,1315,449.0,1.0,03/12/2019
35,36,1364,1197.0,3.0,03/12/2019
36,37,1370,99.0,1.0,03/12/2019
37,38,1373,79.2,1.0,03/12/2019
38,39,1384,596.0,2.0,03/12/2019
39,40,1389,1998.0,1.0,03/12/2019
40,41,1390,1398.0,1.0,03/12/2019
41,42,1467,2398.0,2.0,03/12/2019
42,43,1469,3597.0,3.0,03/12/2019
43,44,1523,799.0,-1.0,03/12/2019
44,45,1534,1299.0,1.0,03/12/2019
45,46,1535,1999.0,1.0,03/12/2019
46,47,1556,2456.0,1.0,03/12/2019
