Shop_Id,Item_ID,Item_Price,Item_count_Day
2,966879,99069,81
3,335745,67443,33
4,498624,29361,39
5,620868,33138,45
6,1266894,116349,150
7,669045,52371,63
10,310137,22707,30
12,1647339,212193,216
14,421977,33456,51
15,1210026,125139,93
16,704436,119523,66
18,798573,35391,96
19,500601,61008,60
21,1758747,224817,180
22,894054,124665,141
24,598098,56955,69
25,3282900,281796,312
26,1282839,119025,111
27,1936338,156324,180
28,2424117,175614,246
29,884454,85737,72
31,3896166,268095,402
34,334746,12117,18
35,809610,89337,84
37,778842,212103,63
38,444330,73482,66
39,819180,30366,54
41,427194,36840,30
42,3004773,327855,249
44,602433,143067,51
45,762702,49107,96
46,1108329,93183,99
47,757767,80142,78
48,673335,32745,63
49,452067,35784,33
50,617757,142008,69
51,200076,9285,24
52,620196,65508,72
53,799296,49893,78
54,2058129,119352,195
55,854331,72612,180
56,667113,47109,75
57,3976677,219231,324
58,1880592,135318,168
59,1075056,112347,111
