,date,shop_id,item_id,item_price,item_cnt_day
0,2015-01-04,29,1469,1199.0,1.0
1,2015-01-04,28,21364,479.0,1.0
2,2015-01-04,28,21365,999.0,2.0
3,2015-01-04,28,22104,249.0,2.0
4,2015-01-04,28,22091,179.0,1.0
5,2015-01-04,28,21842,149.0,1.0
6,2015-01-04,28,21881,299.0,1.0
7,2015-01-04,29,6930,2199.0,1.0
8,2015-01-04,29,10515,169.0,1.0
9,2015-01-04,29,8624,149.0,1.0
10,2015-01-04,29,4178,1590.0,1.0
11,2015-01-04,29,5643,2990.0,1.0
12,2015-01-04,29,5823,2799.0,1.0
13,2015-01-04,29,5037,2599.0,1.0
14,2015-01-04,29,5013,698.0,1.0
15,2015-01-04,29,5822,1149.0,1.0
16,2015-01-04,28,16487,399.0,1.0
17,2015-01-04,28,16360,799.0,1.0
18,2015-01-04,28,15698,99.0,1.0
19,2015-01-04,28,15812,999.0,1.0
20,2015-01-04,28,15818,699.0,1.0
21,2015-01-04,28,17748,349.0,1.0
22,2015-01-04,28,16923,599.0,2.0
23,2015-01-04,28,16889,99.0,1.0
24,2015-01-04,28,16880,199.0,1.0
25,2015-01-04,28,17027,399.0,1.0
26,2015-01-04,28,15922,2149.0,1.0
27,2015-01-04,28,15645,399.0,1.0
28,2015-01-04,28,20225,479.0,2.0
29,2015-01-04,28,20434,1899.0,1.0
30,2015-01-04,28,20069,98.0,1.0
31,2015-01-04,28,19816,799.0,1.0
32,2015-01-04,28,20949,5.0,6.0
33,2015-01-04,28,20916,1719.0,1.0
34,2015-01-04,28,18407,199.0,1.0
35,2015-01-04,28,18148,449.0,1.0
36,2015-01-04,28,18048,299.0,1.0
37,2015-01-04,28,18439,199.0,1.0
38,2015-01-04,28,19116,399.0,1.0
39,2015-01-04,28,18477,249.0,1.0
40,2015-01-04,31,2868,999.0,1.0
41,2015-01-04,31,2853,666.0,3.0
42,2015-01-04,31,2852,666.0,3.0
43,2015-01-04,31,2817,3799.0,1.0
44,2015-01-04,31,3141,1180.0,1.0
45,2015-01-04,31,3084,299.0,1.0
46,2015-01-04,31,2047,198.0,2.0
47,2015-01-04,31,2286,2999.0,1.0
48,2015-01-04,31,1969,3999.0,1.0
49,2015-01-04,31,1744,299.0,1.0
50,2015-01-04,31,2445,599.0,2.0
51,2015-01-04,31,4102,349.0,1.0
52,2015-01-04,31,4334,799.0,1.0
53,2015-01-04,31,4554,299.0,2.0
54,2015-01-04,31,3553,2799.0,1.0
55,2015-01-04,31,3734,3399.0,1.0
56,2015-01-04,29,17717,1000.0,1.0
57,2015-01-04,29,16205,359.0,1.0
58,2015-01-04,29,16174,799.0,1.0
59,2015-01-04,29,16788,2099.0,1.0
60,2015-01-04,29,15818,699.0,1.0
61,2015-01-04,29,18147,99.0,1.0
62,2015-01-04,29,12362,399.0,1.0
63,2015-01-04,29,13517,2390.0,1.0
64,2015-01-04,29,13511,1499.0,1.0
65,2015-01-04,29,11927,599.0,1.0
66,2015-01-04,29,20610,1099.0,1.0
67,2015-01-04,31,1364,399.0,1.0
68,2015-01-04,31,1858,1199.0,1.0
69,2015-01-04,31,1563,1799.0,1.0
70,2015-01-04,31,1570,2999.0,1.0
71,2015-01-04,31,1568,1999.0,1.0
72,2015-01-04,29,21362,1099.0,1.0
73,2015-01-04,29,20259,149.0,1.0
74,2015-01-04,29,21367,749.0,1.0
75,2015-01-04,31,32,149.0,1.0
76,2015-01-04,31,486,300.0,1.0
77,2015-01-04,28,1563,1799.0,1.0
78,2015-01-04,28,1971,4499.0,1.0
79,2015-01-04,28,1878,2599.0,1.0
80,2015-01-04,27,21364,479.0,1.0
81,2015-01-04,27,21365,999.0,1.0
82,2015-01-04,28,30,169.0,1.0
83,2015-01-04,27,21605,99.0,1.0
84,2015-01-04,28,3342,2999.0,1.0
85,2015-01-04,28,3340,1799.0,1.0
86,2015-01-04,28,3071,799.0,1.0
87,2015-01-04,28,3934,3499.0,1.0
88,2015-01-04,28,3777,349.0,1.0
89,2015-01-04,28,2293,999.0,2.0
90,2015-01-04,28,2284,2999.0,1.0
91,2015-01-04,28,2578,349.0,1.0
92,2015-01-04,28,2799,499.0,1.0
93,2015-01-04,27,15817,399.0,1.0
94,2015-01-04,27,16441,99.0,1.0
95,2015-01-04,27,15739,499.0,1.0
96,2015-01-04,27,17322,149.0,1.0
97,2015-01-04,27,14822,1259.0,2.0
98,2015-01-04,27,15257,1199.0,1.0
99,2015-01-04,27,16113,1599.0,1.0
100,2015-01-04,27,16136,1199.0,1.0
101,2015-01-04,27,16116,659.0,1.0
102,2015-01-04,27,15856,899.0,1.0
103,2015-01-04,27,15989,499.0,1.0
104,2015-01-04,27,15857,1499.0,1.0
105,2015-01-04,27,20608,1999.0,1.0
106,2015-01-04,27,20544,1999.0,1.0
