,item_price,item_price,item_price,item_price,item_price
,sum,mean,min,max,count
shop_id,,,,,
2,99069,1320.92,28,8999,75
3,67443,2043.7272727272727,500,8999,33
4,29361,752.8461538461538,79,2799,39
5,33138,736.4,99,3690,45
6,116349,923.4047619047619,5,3999,126
7,52371,831.2857142857143,99,3999,63
10,22707,841.0,3,2456,27
12,212193,1473.5625,79,8999,144
14,33456,743.4666666666667,58,3999,45
15,125139,1345.5806451612902,49,19990,93
16,119523,1897.1904761904761,249,14990,63
18,35391,406.7931034482759,5,1649,87
19,61008,924.3636363636364,99,4499,66
21,224817,1292.051724137931,28,26990,174
22,124665,1154.3055555555557,5,4600,108
24,56955,825.4347826086956,5,3490,69
25,281796,958.4897959183673,28,4999,294
26,119025,1102.0833333333333,149,5890,108
27,156324,964.9629629629629,99,4499,162
28,175614,873.7014925373135,5,4499,201
29,85737,1190.7916666666667,99,2990,72
31,268095,777.0869565217391,49,3999,345
34,12117,673.1666666666666,5,2599,18
35,89337,1063.5357142857142,5,3999,84
37,212103,3535.05,5,27392,60
38,73482,1113.3636363636363,58,4499,66
39,30366,595.4117647058823,5,3999,51
41,36840,1228.0,99,3499,30
42,327855,1366.0625,79,26990,240
44,143067,2167.681818181818,98,27990,66
45,49107,744.0454545454545,99,3999,66
46,93183,970.65625,58,3490,96
47,80142,1027.4615384615386,159,3999,78
48,32745,519.7619047619048,49,2599,63
49,35784,1084.3636363636363,198,3799,33
50,142008,2366.8,5,26990,60
51,9285,442.14285714285717,167,1189,21
52,65508,873.44,5,3690,75
53,49893,692.9583333333334,5,3490,72
54,119352,641.6774193548387,58,3999,186
55,72612,691.5428571428571,25,2599,105
56,47109,654.2916666666666,5,3499,72
57,219231,709.4854368932039,28,14990,309
58,135318,884.4313725490196,28,3999,153
59,112347,1101.4411764705883,5,6799,102
