id,item_id,item_earnings,total_items_sold,date
1,30,169,1,03/12/2019
2,31,363,1,03/12/2019
3,32,149,1,03/12/2019
4,42,299,1,03/12/2019
5,59,249,1,03/12/2019
6,74,499,1,03/12/2019
7,109,249,1,03/12/2019
8,259,249,1,03/12/2019
9,464,299,1,03/12/2019
10,482,6600,4,03/12/2019
11,486,1500,7,03/12/2019
12,492,600,1,03/12/2019
13,493,250,1,03/12/2019
14,494,380,1,03/12/2019
15,686,1500,1,03/12/2019
16,687,600,1,03/12/2019
17,787,420,1,03/12/2019
18,799,25,1,03/12/2019
19,803,100,1,03/12/2019
20,806,498,4,03/12/2019
21,837,4600,1,03/12/2019
22,839,6600,2,03/12/2019
23,970,698,2,03/12/2019
24,971,349,1,03/12/2019
25,1007,1199,1,03/12/2019
26,1010,499,1,03/12/2019
27,1045,199,1,03/12/2019
28,1114,516.5,0,03/12/2019
29,1143,399,1,03/12/2019
30,1201,299,1,03/12/2019
31,1204,299,1,03/12/2019
32,1256,149,1,03/12/2019
33,1260,1248,1,03/12/2019
34,1310,249,1,03/12/2019
35,1315,449,1,03/12/2019
36,1364,1197,3,03/12/2019
37,1370,99,1,03/12/2019
38,1373,79.2,1,03/12/2019
39,1384,596,2,03/12/2019
40,1389,1998,1,03/12/2019
41,1390,1398,1,03/12/2019
42,1467,2398,2,03/12/2019
43,1469,3597,3,03/12/2019
44,1523,799,-1,03/12/2019
45,1534,1299,1,03/12/2019
46,1535,1999,1,03/12/2019
47,1556,2456,1,03/12/2019
48,1563,3598,2,03/12/2019
49,1568,9995,5,03/12/2019
50,1569,2999,1,03/12/2019
51,1570,5998,2,03/12/2019
52,1670,499,1,03/12/2019
53,1682,449,1,03/12/2019
54,1744,299,1,03/12/2019
55,1824,28,1,03/12/2019
56,1826,28,1,03/12/2019
57,1855,799,1,03/12/2019
58,1857,1999,1,03/12/2019
59,1858,1199,1,03/12/2019
60,1866,2999,1,03/12/2019
61,1875,1999,6,03/12/2019
62,1876,7797,3,03/12/2019
63,1877,7198,2,03/12/2019
64,1878,5198,0,03/12/2019
65,1880,2849,1,03/12/2019
66,1883,3999,1,03/12/2019
67,1892,698,1,03/12/2019
68,1905,996,4,03/12/2019
69,1914,249,1,03/12/2019
70,1941,698,1,03/12/2019
71,1968,58,1,03/12/2019
72,1969,63384,22,03/12/2019
73,1970,26997,4,03/12/2019
74,1971,35992,9,03/12/2019
75,2047,396,3,03/12/2019
76,2049,1996,2,03/12/2019
77,2070,294,3,03/12/2019
78,2140,349,1,03/12/2019
79,2252,1197,3,03/12/2019
80,2254,1399,1,03/12/2019
81,2269,1797,3,03/12/2019
82,2283,1998,2,03/12/2019
83,2284,2999,1,03/12/2019
84,2286,2999,1,03/12/2019
85,2293,1998,3,03/12/2019
86,2297,2598,1,03/12/2019
87,2308,597,3,03/12/2019
88,2354,398,1,03/12/2019
89,2416,2557,5,03/12/2019
90,2429,1799,1,03/12/2019
91,2442,1199,1,03/12/2019
92,2445,1198,3,03/12/2019
93,2517,399,1,03/12/2019
94,2574,449,1,03/12/2019
95,2575,2099,-1,03/12/2019
96,2578,349,1,03/12/2019
97,2592,998,2,03/12/2019
98,2690,1598,-1,03/12/2019
99,2734,699,1,03/12/2019
100,2753,299,1,03/12/2019
101,2755,999,1,03/12/2019
102,2760,399,1,03/12/2019
103,2766,199,1,03/12/2019
104,2778,198,2,03/12/2019
105,2799,998,2,03/12/2019
106,2808,2997,3,03/12/2019
107,2813,1798,2,03/12/2019
108,2817,3799,1,03/12/2019
109,2819,4396,2,03/12/2019
110,2851,709.01,1,03/12/2019
111,2852,1332,6,03/12/2019
112,2853,1332,6,03/12/2019
113,2861,3598,2,03/12/2019
114,2868,999,1,03/12/2019
115,2871,999,1,03/12/2019
116,2878,3499,1,03/12/2019
117,2881,999,1,03/12/2019
118,2918,705.21,1,03/12/2019
119,2919,850.95,1,03/12/2019
120,2934,449,1,03/12/2019
121,2937,866,1,03/12/2019
122,2939,449,1,03/12/2019
123,2946,449,-1,03/12/2019
124,2954,1426.76,2,03/12/2019
125,2959,638.04,1,03/12/2019
126,2969,28,2,03/12/2019
127,2975,2199,1,03/12/2019
128,2976,2199,1,03/12/2019
129,3007,1990,1,03/12/2019
130,3025,1799,2,03/12/2019
131,3026,2599,1,03/12/2019
132,3027,2999,1,03/12/2019
133,3028,5198,2,03/12/2019
134,3054,2299,1,03/12/2019
135,3071,5593,8,03/12/2019
136,3072,6998,2,03/12/2019
137,3077,1199,1,03/12/2019
138,3084,299,1,03/12/2019
139,3108,349,1,03/12/2019
140,3115,349,1,03/12/2019
141,3141,2360,2,03/12/2019
142,3146,2590,1,03/12/2019
143,3148,1850,1,03/12/2019
144,3156,750,1,03/12/2019
145,3170,299,1,03/12/2019
146,3234,498,1,03/12/2019
147,3236,2398,1,03/12/2019
148,3238,2398,1,03/12/2019
149,3243,1499,1,03/12/2019
150,3251,116,2,03/12/2019
151,3303,28,1,03/12/2019
152,3327,149,1,03/12/2019
153,3329,2398,2,03/12/2019
154,3331,799,1,03/12/2019
155,3340,3598,2,03/12/2019
156,3341,10396,5,03/12/2019
157,3342,8997,3,03/12/2019
158,3343,2599,1,03/12/2019
159,3423,1399,1,03/12/2019
160,3443,1799,1,03/12/2019
161,3447,2098,1,03/12/2019
162,3460,1799,1,03/12/2019
163,3461,2999,1,03/12/2019
164,3472,549,1,03/12/2019
165,3473,499,1,03/12/2019
166,3476,799,1,03/12/2019
167,3477,1599,1,03/12/2019
168,3484,6799,1,03/12/2019
169,3553,8397,4,03/12/2019
170,3580,299,1,03/12/2019
171,3605,349,1,03/12/2019
172,3617,299,1,03/12/2019
173,3633,1599,1,03/12/2019
174,3641,299,1,03/12/2019
175,3656,220,1,03/12/2019
176,3692,1299,1,03/12/2019
177,3695,1199,1,03/12/2019
178,3708,1798,3,03/12/2019
179,3728,1999,3,03/12/2019
180,3729,1999,4,03/12/2019
181,3734,6798,2,03/12/2019
182,3735,4499,1,03/12/2019
183,3753,599,1,03/12/2019
184,3777,349,1,03/12/2019
185,3801,299,1,03/12/2019
186,3842,2799,1,03/12/2019
187,3928,1859,1,03/12/2019
188,3934,3499,1,03/12/2019
189,3967,299,1,03/12/2019
190,4003,449,1,03/12/2019
191,4014,998,1,03/12/2019
192,4029,58,1,03/12/2019
193,4102,2663,11,03/12/2019
194,4103,2049,1,03/12/2019
195,4138,1798,3,03/12/2019
196,4178,4770,3,03/12/2019
197,4181,3570,3,03/12/2019
198,4190,1192,1,03/12/2019
199,4192,1490,2,03/12/2019
200,4228,1199,1,03/12/2019
201,4231,2299,1,03/12/2019
