shop_id,shop_earnings,total_items_sold,date
2,33023.5,27,03/09/2019
3,22481,11,03/09/2019
4,9787,13,03/09/2019
5,11046,15,03/09/2019
6,38784,50,03/09/2019
7,17457,21,03/09/2019
10,7569,10,03/09/2019
12,70732.133333333,72,03/09/2019
14,11152,17,03/09/2019
15,41713,31,03/09/2019
16,39842,22,03/09/2019
18,11797,32,03/09/2019
19,20336,20,03/09/2019
21,74939.5,60,03/09/2019
22,41555,47,03/09/2019
24,18985,23,03/09/2019
25,93932,104,03/09/2019
26,39675,37,03/09/2019
27,52108,60,03/09/2019
28,58538,82,03/09/2019
29,28579,24,03/09/2019
31,89366,134,03/09/2019
34,4039,6,03/09/2019
35,29779,28,03/09/2019
37,70701,21,03/09/2019
38,24494,22,03/09/2019
39,10123,18,03/09/2019
41,12280,10,03/09/2019
42,109288,83,03/09/2019
44,47690,17,03/09/2019
45,16369,32,03/09/2019
46,31061.8,33,03/09/2019
47,26714,26,03/09/2019
48,10915,21,03/09/2019
49,11928,11,03/09/2019
50,47336,23,03/09/2019
51,3095,8,03/09/2019
52,21837.34,24,03/09/2019
53,16631,26,03/09/2019
54,39784,65,03/09/2019
55,24204.2,60,03/09/2019
56,15703,25,03/09/2019
57,73078,108,03/09/2019
58,45106,56,03/09/2019
59,37451,37,03/09/2019
2,33023.5,27,03/12/2019
3,22481,11,03/12/2019
4,9787,13,03/12/2019
5,11046,15,03/12/2019
6,38784,50,03/12/2019
7,17457,21,03/12/2019
10,7569,10,03/12/2019
12,70732.133333333,72,03/12/2019
14,11152,17,03/12/2019
15,41713,31,03/12/2019
16,39842,22,03/12/2019
18,11797,32,03/12/2019
19,20336,20,03/12/2019
21,74939.5,60,03/12/2019
22,41555,47,03/12/2019
24,18985,23,03/12/2019
25,93932,104,03/12/2019
26,39675,37,03/12/2019
27,52108,60,03/12/2019
28,58538,82,03/12/2019
29,28579,24,03/12/2019
31,89366,134,03/12/2019
34,4039,6,03/12/2019
35,29779,28,03/12/2019
37,70701,21,03/12/2019
38,24494,22,03/12/2019
39,10123,18,03/12/2019
41,12280,10,03/12/2019
42,109288,83,03/12/2019
44,47690,17,03/12/2019
45,16369,32,03/12/2019
46,31061.8,33,03/12/2019
47,26714,26,03/12/2019
48,10915,21,03/12/2019
49,11928,11,03/12/2019
50,47336,23,03/12/2019
51,3095,8,03/12/2019
52,21837.34,24,03/12/2019
53,16631,26,03/12/2019
54,39784,65,03/12/2019
55,24204.2,60,03/12/2019
56,15703,25,03/12/2019
57,73078,108,03/12/2019
58,45106,56,03/12/2019
59,37451,37,03/12/2019
